rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Microsoft Corp.",946500000000,"$946.50B","https://logo.clearbit.com/microsoft.com","#F25022"
2,"Apple Inc.",926900000000,"$926.90B","https://logo.clearbit.com/apple.com","#000000"
3,"Amazon.com, Inc.",916100000000,"$916.10B","https://logo.clearbit.com/amazon.com","#FF9900"
4,"Alphabet Inc.",863400000000,"$863.40B","https://logo.clearbit.com/abc.xyz","#4285F4"
5,"Berkshire Hathaway Inc.",516400000000,"$516.40B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
6,"Facebook, Inc.",475600000000,"$475.60B","https://logo.clearbit.com/facebook.com","#1877F2"
7,"Alibaba Group Holding Ltd.",472900000000,"$472.90B","https://logo.clearbit.com/alibabagroup.com","#FF6A00"
8,"Tencent Holdings Ltd.",458300000000,"$458.30B","https://logo.clearbit.com/tencent.com","#0052D9"
9,"Johnson & Johnson",372200000000,"$372.20B","https://logo.clearbit.com/jnj.com","#D41A2D"
10,"JPMorgan Chase & Co.",366500000000,"$366.50B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
11,"Exxon Mobil Corp.",342300000000,"$342.30B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
12,"Visa Inc.",341800000000,"$341.80B","https://logo.clearbit.com/visa.com","#1A1F71"
13,"Walmart Inc.",338900000000,"$338.90B","https://logo.clearbit.com/walmart.com","#0071CE"
14,"Nestlé S.A.",298700000000,"$298.70B","https://logo.clearbit.com/nestle.com","#005930"
15,"Bank of America Corp.",287300000000,"$287.30B","https://logo.clearbit.com/bankofamerica.com","#E31837"
16,"Royal Dutch Shell plc",279100000000,"$279.10B","https://logo.clearbit.com/shell.com","#FFD500"
17,"Procter & Gamble Co.",278400000000,"$278.40B","https://logo.clearbit.com/pg.com","#003DA5"
18,"Roche Holding AG",275600000000,"$275.60B","https://logo.clearbit.com/roche.com","#0066B3"
19,"Intel Corp.",254600000000,"$254.60B","https://logo.clearbit.com/intel.com","#0071C5"
20,"Novartis AG",249800000000,"$249.80B","https://logo.clearbit.com/novartis.com","#F89829"
