rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",2910000000000,"$2.91T","https://logo.clearbit.com/apple.com","#000000"
2,"Microsoft Corp.",2510000000000,"$2.51T","https://logo.clearbit.com/microsoft.com","#F25022"
3,"Alphabet Inc.",1920000000000,"$1.92T","https://logo.clearbit.com/abc.xyz","#4285F4"
4,"Saudi Aramco",1900000000000,"$1.90T","https://logo.clearbit.com/aramco.com","#0067A4"
5,"Amazon.com, Inc.",1690000000000,"$1.69T","https://logo.clearbit.com/amazon.com","#FF9900"
6,"Tesla, Inc.",1090000000000,"$1.09T","https://logo.clearbit.com/tesla.com","#CC0000"
7,"Berkshire Hathaway Inc.",741480000000,"$741.48B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
8,"Nvidia Corp.",735340000000,"$735.34B","https://logo.clearbit.com/nvidia.com","#76B900"
9,"Meta Platforms, Inc.",634330000000,"$634.33B","https://logo.clearbit.com/meta.com","#0062E0"
10,"TSMC",600310000000,"$600.31B","https://logo.clearbit.com/tsmc.com","#0055A4"
11,"UnitedHealth Group Inc.",508810000000,"$508.81B","https://logo.clearbit.com/unitedhealthgroup.com","#002D58"
12,"Johnson & Johnson",478440000000,"$478.44B","https://logo.clearbit.com/jnj.com","#D41A2D"
13,"Visa Inc.",463810000000,"$463.81B","https://logo.clearbit.com/visa.com","#1A1F71"
14,"Walmart Inc.",414700000000,"$414.70B","https://logo.clearbit.com/walmart.com","#0071CE"
15,"JPMorgan Chase & Co.",409810000000,"$409.81B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
16,"Exxon Mobil Corp.",399780000000,"$399.78B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
17,"Eli Lilly and Co.",391210000000,"$391.21B","https://logo.clearbit.com/lilly.com","#00A4E4"
18,"Procter & Gamble Co.",388900000000,"$388.90B","https://logo.clearbit.com/pg.com","#003DA5"
19,"Nestlé S.A.",380110000000,"$380.11B","https://logo.clearbit.com/nestle.com","#005930"
20,"Mastercard Inc.",366890000000,"$366.89B","https://logo.clearbit.com/mastercard.com","#EB001B"
