rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",2070000000000,"$2.07T","https://logo.clearbit.com/apple.com","#000000"
2,"Microsoft Corp.",1800000000000,"$1.80T","https://logo.clearbit.com/microsoft.com","#F25022"
3,"Saudi Aramco",1880000000000,"$1.88T","https://logo.clearbit.com/aramco.com","#0067A4"
4,"Alphabet Inc.",1360000000000,"$1.36T","https://logo.clearbit.com/abc.xyz","#4285F4"
5,"Amazon.com, Inc.",1190000000000,"$1.19T","https://logo.clearbit.com/amazon.com","#FF9900"
6,"Berkshire Hathaway Inc.",687400000000,"$687.40B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
7,"Nvidia Corp.",559690000000,"$559.69B","https://logo.clearbit.com/nvidia.com","#76B900"
8,"Tesla, Inc.",521280000000,"$521.28B","https://logo.clearbit.com/tesla.com","#CC0000"
9,"Meta Platforms, Inc.",499860000000,"$499.86B","https://logo.clearbit.com/meta.com","#0062E0"
10,"Visa Inc.",487610000000,"$487.61B","https://logo.clearbit.com/visa.com","#1A1F71"
11,"UnitedHealth Group Inc.",485440000000,"$485.44B","https://logo.clearbit.com/unitedhealthgroup.com","#002D58"
12,"Johnson & Johnson",471650000000,"$471.65B","https://logo.clearbit.com/jnj.com","#D41A2D"
13,"Exxon Mobil Corp.",461270000000,"$461.27B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
14,"Walmart Inc.",431100000000,"$431.10B","https://logo.clearbit.com/walmart.com","#0071CE"
15,"JPMorgan Chase & Co.",411330000000,"$411.33B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
16,"TSMC",394020000000,"$394.02B","https://logo.clearbit.com/tsmc.com","#0055A4"
17,"Eli Lilly and Co.",359880000000,"$359.88B","https://logo.clearbit.com/lilly.com","#00A4E4"
18,"Procter & Gamble Co.",355210000000,"$355.21B","https://logo.clearbit.com/pg.com","#003DA5"
19,"LVMH Moët Hennessy Louis Vuitton",352120000000,"$352.12B","https://logo.clearbit.com/lvmh.com","#002D54"
20,"Mastercard Inc.",344010000000,"$344.01B","https://logo.clearbit.com/mastercard.com","#EB001B"
