rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",617580000000,"$617.58B","https://logo.clearbit.com/apple.com","#000000"
2,"Alphabet Inc.",547240000000,"$547.24B","https://logo.clearbit.com/abc.xyz","#4285F4"
3,"Microsoft Corp.",482910000000,"$482.91B","https://logo.clearbit.com/microsoft.com","#F25022"
4,"Berkshire Hathaway Inc.",408430000000,"$408.43B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
5,"Exxon Mobil Corp.",376120000000,"$376.12B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
6,"Amazon.com, Inc.",358550000000,"$358.55B","https://logo.clearbit.com/amazon.com","#FF9900"
7,"Facebook, Inc.",333210000000,"$333.21B","https://logo.clearbit.com/facebook.com","#1877F2"
8,"Johnson & Johnson",317890000000,"$317.89B","https://logo.clearbit.com/jnj.com","#D41A2D"
9,"JPMorgan Chase & Co.",306610000000,"$306.61B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
10,"General Electric Co.",298540000000,"$298.54B","https://logo.clearbit.com/ge.com","#0073B8"
11,"Wells Fargo & Co.",275430000000,"$275.43B","https://logo.clearbit.com/wellsfargo.com","#D71E28"
12,"AT&T Inc.",268910000000,"$268.91B","https://logo.clearbit.com/att.com","#009FDB"
13,"Tencent Holdings Ltd.",224770000000,"$224.77B","https://logo.clearbit.com/tencent.com","#0052D9"
14,"Procter & Gamble Co.",223100000000,"$223.10B","https://logo.clearbit.com/pg.com","#003DA5"
15,"China Mobile Ltd.",220140000000,"$220.14B","https://logo.clearbit.com/chinamobileltd.com","#0088CC"
16,"Nestlé S.A.",219880000000,"$219.88B","https://logo.clearbit.com/nestle.com","#005930"
17,"ICBC",218760000000,"$218.76B","https://logo.clearbit.com/icbc.com.cn","#D81920"
18,"Royal Dutch Shell plc",215340000000,"$215.34B","https://logo.clearbit.com/shell.com","#FFD500"
19,"Roche Holding AG",212980000000,"$212.98B","https://logo.clearbit.com/roche.com","#0066B3"
20,"Walmart Inc.",211550000000,"$211.55B","https://logo.clearbit.com/walmart.com","#0071CE"
