rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",2220000000000,"$2.22T","https://logo.clearbit.com/apple.com","#000000"
2,"Microsoft Corp.",1990000000000,"$1.99T","https://logo.clearbit.com/microsoft.com","#F25022"
3,"Saudi Aramco",1880000000000,"$1.88T","https://logo.clearbit.com/aramco.com","#0067A4"
4,"Amazon.com, Inc.",1720000000000,"$1.72T","https://logo.clearbit.com/amazon.com","#FF9900"
5,"Alphabet Inc.",1630000000000,"$1.63T","https://logo.clearbit.com/abc.xyz","#4285F4"
6,"Facebook, Inc.",859100000000,"$859.10B","https://logo.clearbit.com/facebook.com","#1877F2"
7,"Tesla, Inc.",799340000000,"$799.34B","https://logo.clearbit.com/tesla.com","#CC0000"
8,"Tencent Holdings Ltd.",773810000000,"$773.81B","https://logo.clearbit.com/tencent.com","#0052D9"
9,"Berkshire Hathaway Inc.",641550000000,"$641.55B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
10,"Alibaba Group Holding Ltd.",615340000000,"$615.34B","https://logo.clearbit.com/alibabagroup.com","#FF6A00"
11,"TSMC",578110000000,"$578.11B","https://logo.clearbit.com/tsmc.com","#0055A4"
12,"Visa Inc.",501990000000,"$501.99B","https://logo.clearbit.com/visa.com","#1A1F71"
13,"JPMorgan Chase & Co.",487890000000,"$487.89B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
14,"Johnson & Johnson",435430000000,"$435.43B","https://logo.clearbit.com/jnj.com","#D41A2D"
15,"Samsung Electronics Co., Ltd.",431210000000,"$431.21B","https://logo.clearbit.com/samsung.com","#1428A0"
16,"Walmart Inc.",407840000000,"$407.84B","https://logo.clearbit.com/walmart.com","#0071CE"
17,"Nvidia Corp.",364130000000,"$364.13B","https://logo.clearbit.com/nvidia.com","#76B900"
18,"LVMH Moët Hennessy Louis Vuitton",337890000000,"$337.89B","https://logo.clearbit.com/lvmh.com","#002D54"
19,"Kweichow Moutai Co., Ltd.",331020000000,"$331.02B","https://logo.clearbit.com/moutaichina.com","#A61A22"
20,"Nestlé S.A.",329870000000,"$329.87B","https://logo.clearbit.com/nestle.com","#005930"
