rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",860880000000,"$860.88B","https://logo.clearbit.com/apple.com","#000000"
2,"Alphabet Inc.",729410000000,"$729.41B","https://logo.clearbit.com/abc.xyz","#4285F4"
3,"Microsoft Corp.",659810000000,"$659.81B","https://logo.clearbit.com/microsoft.com","#F25022"
4,"Amazon.com, Inc.",563530000000,"$563.53B","https://logo.clearbit.com/amazon.com","#FF9900"
5,"Facebook, Inc.",512420000000,"$512.42B","https://logo.clearbit.com/facebook.com","#1877F2"
6,"Berkshire Hathaway Inc.",489370000000,"$489.37B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
7,"Tencent Holdings Ltd.",483400000000,"$483.40B","https://logo.clearbit.com/tencent.com","#0052D9"
8,"Alibaba Group Holding Ltd.",440850000000,"$440.85B","https://logo.clearbit.com/alibabagroup.com","#FF6A00"
9,"Johnson & Johnson",375320000000,"$375.32B","https://logo.clearbit.com/jnj.com","#D41A2D"
10,"JPMorgan Chase & Co.",374880000000,"$374.88B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
11,"Exxon Mobil Corp.",352010000000,"$352.01B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
12,"Samsung Electronics Co., Ltd.",342110000000,"$342.11B","https://logo.clearbit.com/samsung.com","#1428A0"
13,"Bank of America Corp.",310220000000,"$310.22B","https://logo.clearbit.com/bankofamerica.com","#E31837"
14,"Wells Fargo & Co.",303440000000,"$303.44B","https://logo.clearbit.com/wellsfargo.com","#D71E28"
15,"Walmart Inc.",299100000000,"$299.10B","https://logo.clearbit.com/walmart.com","#0071CE"
16,"Royal Dutch Shell plc",272190000000,"$272.19B","https://logo.clearbit.com/shell.com","#FFD500"
17,"ICBC",270880000000,"$270.88B","https://logo.clearbit.com/icbc.com.cn","#D81920"
18,"AT&T Inc.",265430000000,"$265.43B","https://logo.clearbit.com/att.com","#009FDB"
19,"Nestlé S.A.",260110000000,"$260.11B","https://logo.clearbit.com/nestle.com","#005930"
20,"Procter & Gamble Co.",254890000000,"$254.89B","https://logo.clearbit.com/pg.com","#003DA5"
