rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",1300000000000,"$1.30T","https://logo.clearbit.com/apple.com","#000000"
2,"Microsoft Corp.",1280000000000,"$1.28T","https://logo.clearbit.com/microsoft.com","#F25022"
3,"Amazon.com, Inc.",1190000000000,"$1.19T","https://logo.clearbit.com/amazon.com","#FF9900"
4,"Saudi Aramco",1680000000000,"$1.68T","https://logo.clearbit.com/aramco.com","#0067A4"
5,"Alphabet Inc.",921210000000,"$921.21B","https://logo.clearbit.com/abc.xyz","#4285F4"
6,"Facebook, Inc.",582490000000,"$582.49B","https://logo.clearbit.com/facebook.com","#1877F2"
7,"Alibaba Group Holding Ltd.",545900000000,"$545.90B","https://logo.clearbit.com/alibabagroup.com","#FF6A00"
8,"Tencent Holdings Ltd.",509610000000,"$509.61B","https://logo.clearbit.com/tencent.com","#0052D9"
9,"Berkshire Hathaway Inc.",521120000000,"$521.12B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
10,"Visa Inc.",411330000000,"$411.33B","https://logo.clearbit.com/visa.com","#1A1F71"
11,"Johnson & Johnson",398710000000,"$398.71B","https://logo.clearbit.com/jnj.com","#D41A2D"
12,"Walmart Inc.",381100000000,"$381.10B","https://logo.clearbit.com/walmart.com","#0071CE"
13,"JPMorgan Chase & Co.",368590000000,"$368.59B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
14,"Nestlé S.A.",315890000000,"$315.89B","https://logo.clearbit.com/nestle.com","#005930"
15,"Procter & Gamble Co.",302550000000,"$302.55B","https://logo.clearbit.com/pg.com","#003DA5"
16,"Roche Holding AG",291870000000,"$291.87B","https://logo.clearbit.com/roche.com","#0066B3"
17,"Mastercard Inc.",284110000000,"$284.11B","https://logo.clearbit.com/mastercard.com","#EB001B"
18,"LVMH Moët Hennessy Louis Vuitton",279430000000,"$279.43B","https://logo.clearbit.com/lvmh.com","#002D54"
19,"Intel Corp.",263180000000,"$263.18B","https://logo.clearbit.com/intel.com","#0071C5"
20,"Verizon Communications Inc.",242010000000,"$242.01B","https://logo.clearbit.com/verizon.com","#CD040B"
