rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",1050000000000,"$1.05T","https://logo.clearbit.com/apple.com","#000000"
2,"Amazon.com, Inc.",970600000000,"$970.60B","https://logo.clearbit.com/amazon.com","#FF9900"
3,"Microsoft Corp.",858400000000,"$858.40B","https://logo.clearbit.com/microsoft.com","#F25022"
4,"Alphabet Inc.",819700000000,"$819.70B","https://logo.clearbit.com/abc.xyz","#4285F4"
5,"Berkshire Hathaway Inc.",503200000000,"$503.20B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
6,"Facebook, Inc.",501500000000,"$501.50B","https://logo.clearbit.com/facebook.com","#1877F2"
7,"Tencent Holdings Ltd.",498800000000,"$498.80B","https://logo.clearbit.com/tencent.com","#0052D9"
8,"Alibaba Group Holding Ltd.",480700000000,"$480.70B","https://logo.clearbit.com/alibabagroup.com","#FF6A00"
9,"Johnson & Johnson",388900000000,"$388.90B","https://logo.clearbit.com/jnj.com","#D41A2D"
10,"JPMorgan Chase & Co.",387700000000,"$387.70B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
11,"Exxon Mobil Corp.",355600000000,"$355.60B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
12,"ICBC",346100000000,"$346.10B","https://logo.clearbit.com/icbc.com.cn","#D81920"
13,"Samsung Electronics Co., Ltd.",343800000000,"$343.80B","https://logo.clearbit.com/samsung.com","#1428A0"
14,"Bank of America Corp.",313500000000,"$313.50B","https://logo.clearbit.com/bankofamerica.com","#E31837"
15,"Royal Dutch Shell plc",306500000000,"$306.50B","https://logo.clearbit.com/shell.com","#FFD500"
16,"Walmart Inc.",298900000000,"$298.90B","https://logo.clearbit.com/walmart.com","#0071CE"
17,"Wells Fargo & Co.",291400000000,"$291.40B","https://logo.clearbit.com/wellsfargo.com","#D71E28"
18,"Nestlé S.A.",289800000000,"$289.80B","https://logo.clearbit.com/nestle.com","#005930"
19,"PetroChina Co. Ltd.",284100000000,"$284.10B","https://logo.clearbit.com/petrochina.com.cn","#D8242A"
20,"Visa Inc.",281200000000,"$281.20B","https://logo.clearbit.com/visa.com","#1A1F71"
