rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Nvidia Corp.",4520000000000,"$4.52T","https://logo.clearbit.com/nvidia.com","#76B900"
2,"Microsoft Corp.",3930000000000,"$3.93T","https://logo.clearbit.com/microsoft.com","#F25022"
3,"Apple Inc.",3810000000000,"$3.81T","https://logo.clearbit.com/apple.com","#000000"
4,"Alphabet Inc.",3030000000000,"$3.03T","https://logo.clearbit.com/abc.xyz","#4285F4"
5,"Amazon.com, Inc.",2360000000000,"$2.36T","https://logo.clearbit.com/amazon.com","#FF9900"
6,"Meta Platforms, Inc.",1800000000000,"$1.80T","https://logo.clearbit.com/meta.com","#0062E0"
7,"Broadcom Inc.",1580000000000,"$1.58T","https://logo.clearbit.com/broadcom.com","#FF0000"
8,"TSMC",1570000000000,"$1.57T","https://logo.clearbit.com/tsmc.com","#0055A4"
9,"Tesla, Inc.",1510000000000,"$1.51T","https://logo.clearbit.com/tesla.com","#CC0000"
10,"Berkshire Hathaway Inc.",1080000000000,"$1.08T","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
11,"JPMorgan Chase & Co.",850160000000,"$850.16B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
12,"Oracle Corp.",831260000000,"$831.26B","https://logo.clearbit.com/oracle.com","#F80000"
13,"Walmart Inc.",818810000000,"$818.81B","https://logo.clearbit.com/walmart.com","#0071CE"
14,"Tencent Holdings Ltd.",790790000000,"$790.79B","https://logo.clearbit.com/tencent.com","#0052D9"
15,"Eli Lilly and Co.",757550000000,"$757.55B","https://logo.clearbit.com/lilly.com","#00A4E4"
16,"Visa Inc.",677930000000,"$677.93B","https://logo.clearbit.com/visa.com","#1A1F71"
17,"Mastercard Inc.",523250000000,"$523.25B","https://logo.clearbit.com/mastercard.com","#EB001B"
18,"Netflix, Inc.",494320000000,"$494.32B","https://logo.clearbit.com/netflix.com","#E50914"
19,"Exxon Mobil Corp.",486860000000,"$486.86B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
20,"Johnson & Johnson",453150000000,"$453.15B","https://logo.clearbit.com/jnj.com","#D41A2D"
