rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",3080000000000,"$3.08T","https://logo.clearbit.com/apple.com","#000000"
2,"Microsoft Corp.",3030000000000,"$3.03T","https://logo.clearbit.com/microsoft.com","#F25022"
3,"Saudi Aramco",2130000000000,"$2.13T","https://logo.clearbit.com/aramco.com","#0067A4"
4,"Alphabet Inc.",1920000000000,"$1.92T","https://logo.clearbit.com/abc.xyz","#4285F4"
5,"Amazon.com, Inc.",1860000000000,"$1.86T","https://logo.clearbit.com/amazon.com","#FF9900"
6,"Nvidia Corp.",1220000000000,"$1.22T","https://logo.clearbit.com/nvidia.com","#76B900"
7,"Meta Platforms, Inc.",919710000000,"$919.71B","https://logo.clearbit.com/meta.com","#0062E0"
8,"Berkshire Hathaway Inc.",872230000000,"$872.23B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
9,"Eli Lilly and Co.",644800000000,"$644.80B","https://logo.clearbit.com/lilly.com","#00A4E4"
10,"TSMC",633910000000,"$633.91B","https://logo.clearbit.com/tsmc.com","#0055A4"
11,"Broadcom Inc.",611230000000,"$611.23B","https://logo.clearbit.com/broadcom.com","#FF0000"
12,"Novo Nordisk A/S",588670000000,"$588.67B","https://logo.clearbit.com/novonordisk.com","#00A0D6"
13,"JPMorgan Chase & Co.",574110000000,"$574.11B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
14,"Tesla, Inc.",562240000000,"$562.24B","https://logo.clearbit.com/tesla.com","#CC0000"
15,"Visa Inc.",552170000000,"$552.17B","https://logo.clearbit.com/visa.com","#1A1F71"
16,"Walmart Inc.",528140000000,"$528.14B","https://logo.clearbit.com/walmart.com","#0071CE"
17,"UnitedHealth Group Inc.",501980000000,"$501.98B","https://logo.clearbit.com/unitedhealthgroup.com","#002D58"
18,"Exxon Mobil Corp.",498430000000,"$498.43B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
19,"Mastercard Inc.",426680000000,"$426.68B","https://logo.clearbit.com/mastercard.com","#EB001B"
20,"Johnson & Johnson",411390000000,"$411.39B","https://logo.clearbit.com/jnj.com","#D41A2D"
